InfosDossier
InfosDossier;Dossier;91944
InfosDossier;Code_Exercice;06
InfosDossier;Nom_Exercice;2006
InfosDossier;Raison sociale;E.A.R.L DUCOM LABASTIDE
InfosDossier;Debut;01/07/2005
InfosDossier;Fin;30/06/2006
InfosDossier;Adresse1;"GRAND BLAYE"
InfosDossier;Adresse2;.
InfosDossier;cp;40500
InfosDossier;ville;FARGUES
InfosDossier;Gestion derog;Faux
5B1;compte;debit;credit
5B1;2313;1000;0
5B2;compte;debit;credit
5B2;2154;327.13;0
6B1;compte;debit;credit
6B1;205;125.53;0
6B1;2121;1016.67;0
6B1;21311;4648.4;0
6B1;2154;16926.91;0
6B1;2461;232.35;0
6B2;compte;debit;credit
6B2;;;0
6A3;compte;debit;credit
6A3;2154;327.13;0
6C4;compte;debit;credit
6C5;compte;debit;credit
Bilan;Compte;Debit_Report;Credit_Report;Debit_base;Credit_base;debit_total;credit_total
Bilan;627;760.13;0;0;0;642.87;0
Bilan;6284801;1572.82;0;0;0;2231.57;0
Bilan;6286;345;115;0;0;250;0
Bilan;6313;56;19;0;0;18;0
Bilan;6341110;36.28;0;0;0;44.08;0
Bilan;634117;338.68;0;0;0;302.42;0
Bilan;6344801;44.51;0;0;0;91.9;0
Bilan;6357;21;0;0;0;0;0
Bilan;6378;357;0;0;0;366;0
Bilan;63781;1212;295;0;0;614;0
Bilan;64111;0;0;0;0;1254;0
Bilan;64115;0;0;0;0;2654;0
Bilan;6413;21960;0;0;0;21960;0
Bilan;6462;11924.98;7496.98;0;0;2406.8;0
Bilan;658;6.16;0;0;0;10.33;0
Bilan;6612;4133.53;1567.08;0;0;1971.57;0
Bilan;6613;677.31;47.36;0;0;233.26;0
Bilan;6614;720.46;61.39;0;0;972.89;0
Bilan;6617;116.5;0;0;0;150.14;0
Bilan;6618;23.75;0;0;0;0.01;0
Bilan;6718;0.01;0;0;0;0;0
Bilan;6752;653.19;0;0;0;0;0
Bilan;681115;42.47;0;0;0;125.53;0
Bilan;6811221;765.32;0;0;0;1016.67;0
Bilan;68112311;5187.31;0;0;0;4648.4;0
Bilan;6811254;18654.59;0;0;0;16926.91;0
Bilan;6811461;424.73;0;0;0;232.35;0
Bilan;68151;0;0;0;0;4708.55;0
Bilan;681731;1794;0;0;0;492;0
Bilan;7010110;0;2891.88;0;0;0;3060.08
Bilan;701017;0;30763.55;0;0;0;27137.98
Bilan;7045801;0;13478.18;0;0;0;74459.79
Bilan;7045803;0;6000;0;0;0;0
Bilan;7045804;0;19352.92;0;0;0;0
Bilan;7045806;0;1981.84;0;0;0;8816.08
Bilan;708017;5120;5120;0;0;0;0
Bilan;708018;1900;1900;0;0;0;0
Bilan;7080181;2000;2000;0;0;0;0
Bilan;70830;316.33;948;0;0;0;632
Bilan;713111;125877;146135;0;0;19875;0
Bilan;7134110;1947.58;2606.16;0;0;0;2788.11
Bilan;7134117;14659.82;14312.32;0;0;0;3865.52
Bilan;71341315;2030.45;3299.23;0;0;370.8;0
Bilan;713415;17391;14307;0;0;0;2549
Bilan;7137417;1560;5631;0;0;1545.6;0
Bilan;7137801;8880;10320;0;0;0;2480
Bilan;7260170;0;60;0;0;0;99.2
Bilan;7260800;0;0;0;0;0;600
Bilan;7424;0;0;0;0;0;3337.12
Bilan;743;0;4258.46;0;0;0;2771.62
Bilan;74408;0;15066.49;0;0;0;17670.83
Bilan;7450;0;759.47;0;0;0;509
Bilan;7450110;1035.5;2595.31;0;0;0;1094.17
Bilan;745017;12540.51;30419.86;0;0;0;15934.6
Bilan;7450315;0;2474.01;0;0;0;4232.36
Bilan;7450399;615;2435.74;0;0;0;2390.37
Bilan;74508;0;0;0;0;0;102.84
Bilan;758;0;0.58;0;0;0;0.18
Bilan;768;0;198.87;0;0;0;198.47
Bilan;7718;0;0;0;0;0;0.03
Bilan;7752;0;300;0;0;0;0
Bilan;781731;0;474;0;0;0;305
5A3;Compte;Débit;Crédit
5A3;2154;2294.45;0
5A3;2313;1000;0
5A3;2621;151.48;0
8B1VS;Compte;Débit;Crédit
8B1VS;Tous;13333;0
8B1VT;Compte;Débit;Crédit
8B1VT;Tous;66.2;0
8B2VC;Compte;Debit;Credit
8B2VC;1643;775.21;0
8B2VD;Compte;Debit;Credit
8B2VD;164;83.86;0
8B3VC;Compte;Debit;Credit
8B3VC;1643;2494.92;0
8B3VD;Compte;Debit;Credit
8B3VD;164;380.58;0
8B4VC;Compte;Debit;Credit
8B4VC;1643;0;0
8B4VD;Compte;Debit;Credit
8B4VD;164;442.88;0
9WM;Compte;Debit;Credit
9WM;Tous;0;0
Analytique;Atelier;Libellé atelier;Compte;Désignation;Total charges;Total produits;Qt1;PU 1;Qt2;PU 2;Code activité;Libellé activité;Nb Unité Atelier
Analytique;BAFO;Batiment et foncier;6131;FERMAGES;6950.7;0;40.16;173.08;0.00;0.00;CS;Charges de structure;0
Analytique;BAFO;Batiment et foncier;6151;ENTR.TERRAINS;531.68;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;BAFO;Batiment et foncier;6153;ENTR.CONSTRUCTIONS;60.95;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;BAFO;Batiment et foncier;68151;Dotat. pour risques et charges;4708.55;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;BAFO;Batiment et foncier;7424;IND ASS BATIMENT;0;3337.12;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;60220;PRODUITS ENTRETIEN;186.56;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6024;FOURNITURES  BUREAU;69.7;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6025;VETEMENTS;8.32;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6061;EAU;1581.57;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;60630;ELECTRICITE;656.56;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6064;CARBURANTS;718.29;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6158;MAINTENANCE;90.4;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;616;ASSURANCES;3195.64;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6168;ASSURANCE PRETS;350.04;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6183;DOCUMENTATION;179.19;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6185;FRAIS COLLOQUES...;117.79;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6226;HONORAIRES COMPTABLES;3064.54;0;41.50;73.84;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6231;ANNONCES;11.3;0;1.00;11.30;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;626;TELEPHONE;141.74;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;627;SERVICES BANCAIRES;642.87;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6286;COTISATIONS PROFESSIONNELLES;250;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6313;FAFEA GILLES;18;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6378;TAXE ADAR;366;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;63781;CSG DED.GILLES;614;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;658;CHARGES GESTION;10.33;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6612;INTERETS ELMT;1971.57;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6613;INTERETS C.T;233.26;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6614;INTERETS OCC;972.89;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6617;INTERETS FOURNIS.;150.14;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;6618;INTERETS DAV;0.01;0;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;74508;AIDE CONCOURS;0;102.84;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;758;PRODUIT GESTION;0;0.18;0.00;0.00;0.00;0.00;CS;Charges de structure;0
Analytique;DIVE;Charges diverses;7718;PROD.EXCEPTION.COUR.;0;0.03;0.00;0.00;0.00;0.00;EE;Elements exceptionnels;0
Analytique;ELEM;Eléments divers;70830;LOYER VIGNE;0;632;0.00;0.00;0.00;0.00;EE;Elements exceptionnels;0
Analytique;ELEM;Eléments divers;713415;V.S AAC C.S;0;2549;0.50;5 098.00;0.00;0.00;EE;Elements exceptionnels;0
Analytique;ELEM;Eléments divers;743;INDEMNITE CALAMITES;0;2771.62;0.00;0.00;0.00;0.00;EE;Elements exceptionnels;0
Analytique;ELEM;Eléments divers;7450;AUTRES IND ET SUBV;0;509;0.00;0.00;0.00;0.00;EE;Elements exceptionnels;0
Analytique;ELEM;Eléments divers;7450110;AIDE BLE;0;0;0.00;0.00;0.00;0.00;EE;Elements exceptionnels;0
